index,bus,origbus,origid,bus_type,fuel,unit_type,pmax,pmin,status,cost_startup,cost_shutdown,min_ut,min_dt,start_time,is_fs,ramping_mw_per_min,forced_outage_rate,in_contingency,reserve_qualification,dispatchable,pwlc_slope_0,pwlc_intercept_0,pwlc_slope_1,pwlc_intercept_1,pwlc_slope_2,pwlc_intercept_2,pwlc_y_0,pwlc_x_0,pwlc_y_1,pwlc_x_1,pwlc_y_2,pwlc_x_2,pwlc_y_3,pwlc_x_3
224,78,3573,3,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),48.8,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1715.446667,28.50053333,1831.34,-2.713404444,1947.233333,-46.59834667,302.972,0.16,490.5275022,0.269333333,690.7540089,0.378666667,903.65152,0.488
225,80,3576,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47.3,9,1,0,0,2,2,1,1,4,0.03,1,1,1,1433.693333,313.7666,1500.08,299.3164356,1566.466667,276.3909067,442.799,0.09,625.8338489,0.217666667,817.3440622,0.345333333,1017.32964,0.473
226,80,3576,2,PQ (Gens at Var Limit),ng,ST (Steam Turbine),24.5,5,1,0,0,2,2,4,0,4,0.03,1,1,1,2723.95,83.7725,2865.65,67.477,3007.35,41.971,219.97,0.05,397.02675,0.115,583.294,0.18,778.77175,0.245
227,80,3576,3,PQ (Gens at Var Limit),ng,ST (Steam Turbine),24.5,5,1,0,0,2,2,4,0,4,0.03,1,1,1,2723.95,83.7725,2865.65,67.477,3007.35,41.971,219.97,0.05,397.02675,0.115,583.294,0.18,778.77175,0.245
228,81,3577,1,PQ (Gens at Var Limit),hydro,HY (Hydro),47,8,1,0,0,0,0,0,0,50,0.01,1,0,1,1667.7,33.554,1828.9,-0.298,1990.1,-55.106,166.97,0.08,383.771,0.21,621.528,0.34,880.241,0.47
229,82,3578,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
230,82,3578,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
231,83,3579,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
232,83,3579,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
233,84,3581,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
234,84,3581,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
235,85,3582,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
236,85,3582,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
237,86,3583,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
238,87,3584,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
239,88,3585,1,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),47,40,1,0,0,2,2,1,1,4,0.03,1,1,1,1924.266667,-38.40666667,1949,-48.87711111,1973.733333,-59.92466667,731.3,0.4,776.1995556,0.423333333,821.6762222,0.446666667,867.73,0.47
240,88,3585,2,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),25,10,1,0,0,2,2,4,0,4,0.03,1,1,1,1620.4,43.39,1673.4,35.44,1726.4,24.84,205.43,0.1,286.45,0.15,370.12,0.2,456.44,0.25
241,89,3586,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,23,1,0,0,2,2,1,1,4,0.03,1,1,1,1494.1,300.322,1535.7,287.426,1577.3,271.202,643.965,0.23,763.493,0.31,886.349,0.39,1012.533,0.47
242,90,3587,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),46.5,5,1,0,0,2,2,1,1,4,0.03,1,1,1,1415.666667,316.4116667,1487.6,302.8642222,1559.533333,279.366,387.195,0.05,583.0288889,0.188333333,788.8135556,0.326666667,1004.549,0.465
243,91,3588,1,PV,ng,CA (Combined Cycle Steam Part),44.6,34,1,0,0,2,2,4,0,4,0.03,1,1,1,1867.026667,-16.29506667,1904.48,-30.35255111,1941.933333,-45.73338667,618.494,0.34,684.4622756,0.375333333,751.7539022,0.410666667,820.36888,0.446
244,91,3588,2,PV,ng,CT (Combined Cycle Combustion Turbine Part),46,29,1,0,0,2,2,1,1,4,0.03,1,1,1,1825.333333,-1.942666667,1885.4,-22.76577778,1945.466667,-46.99266667,527.404,0.29,630.8395556,0.346666667,737.6788889,0.403333333,847.922,0.46
245,92,3590,1,PV,wood,ST (Steam Turbine),42.1,2,1,0,0,0,0,4,0,42.1,0,1,1,1,3637.733333,187.9513333,3851.6,155.0871556,4065.466667,93.63613333,260.706,0.02,746.9496889,0.153666667,1261.780222,0.287333333,1805.1976,0.421
246,93,3592,1,PV,ng,CT (Combined Cycle Combustion Turbine Part),42,27,1,0,0,2,2,1,1,4,0.03,1,1,1,1800.6,5.548,1853.6,-11.412,1906.6,-31.022,491.71,0.27,581.74,0.32,674.42,0.37,769.75,0.42
247,93,3592,2,PV,ng,CA (Combined Cycle Steam Part),25,10,1,0,0,2,2,4,0,4,0.03,1,1,1,1620.4,43.39,1673.4,35.44,1726.4,24.84,205.43,0.1,286.45,0.15,370.12,0.2,456.44,0.25
248,95,3594,1,PV,ng,CT (Combined Cycle Combustion Turbine Part),40.9,25,1,0,0,2,2,1,1,4,0.03,1,1,1,1780.99,11.1925,1837.17,-5.83004,1893.35,-25.83012,456.44,0.25,550.83247,0.303,648.20248,0.356,748.55003,0.409
249,95,3594,2,PV,ng,CA (Combined Cycle Steam Part),22,10,1,0,0,2,2,4,0,4,0.03,1,1,1,1615.1,43.92,1657.5,37.984,1699.9,30.352,205.43,0.1,270.034,0.14,336.334,0.18,404.33,0.22
250,96,3595,1,PQ (Gens at Var Limit),other,ST (Steam Turbine),39.5,3.5,1,0,0,0,0,4,0,39.5,0,1,1,1,0,0,0,0,0,0,0,0.035,0,0.155,0,0.275,0,0.395
251,98,3598,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),18.5,8,1,0,0,0,0,1,1,18.5,0,1,1,1,5950,1951.18,5957,1950.375,5964,1949.325,2427.18,0.08,2635.43,0.115,2843.925,0.15,3052.665,0.185
252,98,3598,2,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),18.5,8,1,0,0,0,0,1,1,18.5,0,1,1,1,5950,1951.18,5957,1950.375,5964,1949.325,2427.18,0.08,2635.43,0.115,2843.925,0.15,3052.665,0.185
253,99,3599,1,PV,hydro,HY (Hydro),6.05,0.867,1,0,0,0,0,0,0,50,0.01,1,0,1,1509.362333,43.83052629,1530.7854,43.27466912,1552.208467,42.34869277,56.91669772,0.00867,82.99344763,0.025946667,109.4403167,0.043223333,136.257305,0.0605
254,99,3599,2,PV,hydro,HY (Hydro),6.05,0.867,1,0,0,0,0,0,0,50,0.01,1,0,1,1509.362333,43.83052629,1530.7854,43.27466912,1552.208467,42.34869277,56.91669772,0.00867,82.99344763,0.025946667,109.4403167,0.043223333,136.257305,0.0605
255,99,3599,3,PV,hydro,HY (Hydro),6.05,0.867,1,0,0,0,0,0,0,50,0.01,1,0,1,1509.362333,43.83052629,1530.7854,43.27466912,1552.208467,42.34869277,56.91669772,0.00867,82.99344763,0.025946667,109.4403167,0.043223333,136.257305,0.0605
256,99,3599,4,PV,hydro,HY (Hydro),6.05,0.867,1,0,0,0,0,0,0,50,0.01,1,0,1,1509.362333,43.83052629,1530.7854,43.27466912,1552.208467,42.34869277,56.91669772,0.00867,82.99344763,0.025946667,109.4403167,0.043223333,136.257305,0.0605
257,99,3599,5,PV,hydro,HY (Hydro),6.05,0.867,1,0,0,0,0,0,0,50,0.01,1,0,1,1509.362333,43.83052629,1530.7854,43.27466912,1552.208467,42.34869277,56.91669772,0.00867,82.99344763,0.025946667,109.4403167,0.043223333,136.257305,0.0605
258,99,3599,6,PV,hydro,HY (Hydro),6.05,0.867,1,0,0,0,0,0,0,50,0.01,1,0,1,1509.362333,43.83052629,1530.7854,43.27466912,1552.208467,42.34869277,56.91669772,0.00867,82.99344763,0.025946667,109.4403167,0.043223333,136.257305,0.0605
259,100,3600,1,PQ (Gens at Var Limit),hydro,HY (Hydro),9,3,1,0,0,0,0,0,0,50,0.01,1,0,1,1537.5,43.04,1562.3,41.8,1587.1,40.064,89.165,0.03,119.915,0.05,151.161,0.07,182.903,0.09
260,100,3600,2,PQ (Gens at Var Limit),hydro,HY (Hydro),9,3,1,0,0,0,0,0,0,50,0.01,1,0,1,1537.5,43.04,1562.3,41.8,1587.1,40.064,89.165,0.03,119.915,0.05,151.161,0.07,182.903,0.09
261,100,3600,3,PQ (Gens at Var Limit),hydro,HY (Hydro),9,3,1,0,0,0,0,0,0,50,0.01,1,0,1,1537.5,43.04,1562.3,41.8,1587.1,40.064,89.165,0.03,119.915,0.05,151.161,0.07,182.903,0.09
262,100,3600,4,PQ (Gens at Var Limit),hydro,HY (Hydro),9,3,1,0,0,0,0,0,0,50,0.01,1,0,1,1537.5,43.04,1562.3,41.8,1587.1,40.064,89.165,0.03,119.915,0.05,151.161,0.07,182.903,0.09
263,101,3602,1,PV,hydro,HY (Hydro),36,15,1,0,0,0,0,0,0,50,0.01,1,0,1,1717.3,23.51,1804.1,4.414,1890.9,-20.758,281.105,0.15,401.316,0.22,527.603,0.29,659.966,0.36
264,104,3606,1,PQ (Gens at Var Limit),ng,IC (Internal Combustion),4.9,2.383,1,0,0,2,2,1,1,4,0.03,1,1,1,2736.935,128.0625382,2748.681,127.6840821,2760.427,127.207077,193.2836992,0.02383,216.2465839,0.03222,239.3080175,0.04061,262.468,0.049
265,104,3606,2,PQ (Gens at Var Limit),ng,IC (Internal Combustion),4.9,2.383,1,0,0,2,2,1,1,4,0.03,1,1,1,2736.935,128.0625382,2748.681,127.6840821,2760.427,127.207077,193.2836992,0.02383,216.2465839,0.03222,239.3080175,0.04061,262.468,0.049
266,104,3606,3,PQ (Gens at Var Limit),ng,IC (Internal Combustion),4.9,2.383,1,0,0,2,2,1,1,4,0.03,1,1,1,2736.935,128.0625382,2748.681,127.6840821,2760.427,127.207077,193.2836992,0.02383,216.2465839,0.03222,239.3080175,0.04061,262.468,0.049
267,104,3606,4,PQ (Gens at Var Limit),ng,IC (Internal Combustion),4.9,2.383,1,0,0,2,2,1,1,4,0.03,1,1,1,2736.935,128.0625382,2748.681,127.6840821,2760.427,127.207077,193.2836992,0.02383,216.2465839,0.03222,239.3080175,0.04061,262.468,0.049
268,104,3606,5,PQ (Gens at Var Limit),ng,IC (Internal Combustion),4.9,2.383,1,0,0,2,2,1,1,4,0.03,1,1,1,2736.935,128.0625382,2748.681,127.6840821,2760.427,127.207077,193.2836992,0.02383,216.2465839,0.03222,239.3080175,0.04061,262.468,0.049
269,104,3606,6,PQ (Gens at Var Limit),ng,IC (Internal Combustion),4.9,2.383,1,0,0,2,2,1,1,4,0.03,1,1,1,2736.935,128.0625382,2748.681,127.6840821,2760.427,127.207077,193.2836992,0.02383,216.2465839,0.03222,239.3080175,0.04061,262.468,0.049
270,105,3609,1,PQ (Gens at Var Limit),ng,ST (Steam Turbine),26.9,5,1,0,0,2,2,4,0,4,0.03,1,1,1,2691.63,119.4335,2824.49,103.09172,2957.35,77.05116,254.015,0.05,450.50399,0.123,656.69176,0.196,872.57831,0.269
271,106,3610,1,PQ (Gens at Var Limit),hydro,HY (Hydro),26,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1551.966667,43.39133333,1655.3,33.74688889,1758.633333,15.49133333,58.911,0.01,188.2415556,0.093333333,326.1832222,0.176666667,472.736,0.26
272,107,3612,1,PQ (Gens at Var Limit),hydro,HY (Hydro),25,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1549.9,43.412,1649.1,34.484,1748.3,17.62,58.911,0.01,182.903,0.09,314.831,0.17,454.695,0.25
273,108,3613,1,PV,hydro,HY (Hydro),25,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1549.9,43.412,1649.1,34.484,1748.3,17.62,58.911,0.01,182.903,0.09,314.831,0.17,454.695,0.25
274,109,3614,1,PQ (Gens at Var Limit),other,ST (Steam Turbine),25,3,1,0,0,0,0,4,0,25,0,1,1,1,0,0,0,0,0,0,0,0.03,0,0.103333333,0,0.176666667,0,0.25
275,109,3614,2,PQ (Gens at Var Limit),other,ST (Steam Turbine),25,3,1,0,0,0,0,4,0,25,0,1,1,1,0,0,0,0,0,0,0,0.03,0,0.103333333,0,0.176666667,0,0.25
276,110,3615,1,PV,hydro,HY (Hydro),24.6,6,1,0,0,0,0,0,0,50,0.01,1,0,1,1600.74,39.4316,1677.62,30.05224,1754.5,15.90632,135.476,0.06,234.72188,0.122,338.73432,0.184,447.51332,0.246
277,110,3615,2,PV,hydro,HY (Hydro),24.6,6,1,0,0,0,0,0,0,50,0.01,1,0,1,1600.74,39.4316,1677.62,30.05224,1754.5,15.90632,135.476,0.06,234.72188,0.122,338.73432,0.184,447.51332,0.246
278,111,3616,1,PQ (Gens at Var Limit),hydro,HY (Hydro),24,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1547.833333,43.43266667,1642.9,35.19355556,1737.966667,19.666,58.911,0.01,177.5782222,0.086666667,303.5338889,0.163333333,436.778,0.24
279,112,3617,1,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),7.8,3.1,1,0,0,2,2,4,0,4,0.03,1,1,1,1529.063333,50.57326667,1545.67,49.79828889,1562.276667,48.76314,97.97423,0.031,121.9295556,0.046666667,146.1450522,0.062333333,170.62072,0.078
280,112,3617,2,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),7.8,3.1,1,0,0,2,2,4,0,4,0.03,1,1,1,1529.063333,50.57326667,1545.67,49.79828889,1562.276667,48.76314,97.97423,0.031,121.9295556,0.046666667,146.1450522,0.062333333,170.62072,0.078
281,112,3617,3,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),7.8,3.1,1,0,0,2,2,4,0,4,0.03,1,1,1,1529.063333,50.57326667,1545.67,49.79828889,1562.276667,48.76314,97.97423,0.031,121.9295556,0.046666667,146.1450522,0.062333333,170.62072,0.078
282,113,3618,1,PV,hydro,HY (Hydro),11,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1520.966667,43.70133333,1562.3,41.91022222,1603.633333,38.74133333,58.911,0.01,109.6098889,0.043333333,161.6865556,0.076666667,215.141,0.11
283,113,3618,2,PV,hydro,HY (Hydro),11,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1520.966667,43.70133333,1562.3,41.91022222,1603.633333,38.74133333,58.911,0.01,109.6098889,0.043333333,161.6865556,0.076666667,215.141,0.11
284,114,3619,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
285,114,3619,10,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
286,114,3619,11,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
287,114,3619,12,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
288,114,3619,13,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
289,114,3619,14,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
290,114,3619,15,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
291,114,3619,16,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,15.8,1,0,0,2,2,1,1,4,0.03,1,1,1,1441.233333,311.5203733,1451.98,309.6003022,1462.726667,307.4581333,539.23524,0.158,569.0207289,0.178666667,599.0283156,0.199333333,629.258,0.22
292,114,3619,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
293,114,3619,3,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
294,114,3619,4,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
295,114,3619,5,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
296,114,3619,6,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
297,114,3619,7,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
298,114,3619,8,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
299,114,3619,9,PQ (Gens at Var Limit),ng,GT (Gas Turbine),22,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1442.1,311.372,1452.5,309.5,1462.9,307.42,542.108,0.16,570.95,0.18,600,0.2,629.258,0.22
300,115,3620,1,PV,hydro,HY (Hydro),22,0.1,1,0,0,0,0,0,0,50,0.01,1,0,1,1534.4,43.92412,1624.92,37.22564,1715.44,23.9192,45.45852,0.001,157.46972,0.074,276.08888,0.147,401.316,0.22
301,115,3620,2,PV,hydro,HY (Hydro),22,0.1,1,0,0,0,0,0,0,50,0.01,1,0,1,1534.4,43.92412,1624.92,37.22564,1715.44,23.9192,45.45852,0.001,157.46972,0.074,276.08888,0.147,401.316,0.22
302,117,3625,1,PQ (Gens at Var Limit),hydro,HY (Hydro),21,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1541.633333,43.49466667,1624.3,37.15688889,1706.966667,25.308,58.911,0.01,161.6865556,0.076666667,269.9732222,0.143333333,383.771,0.21
303,118,3627,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
304,118,3627,10,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
