index,bus,origbus,origid,bus_type,fuel,unit_type,pmax,pmin,status,cost_startup,cost_shutdown,min_ut,min_dt,start_time,is_fs,ramping_mw_per_min,forced_outage_rate,in_contingency,reserve_qualification,dispatchable,pwlc_slope_0,pwlc_intercept_0,pwlc_slope_1,pwlc_intercept_1,pwlc_slope_2,pwlc_intercept_2,pwlc_y_0,pwlc_x_0,pwlc_y_1,pwlc_x_1,pwlc_y_2,pwlc_x_2,pwlc_y_3,pwlc_x_3
305,118,3627,11,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
306,118,3627,12,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
307,118,3627,13,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
308,118,3627,14,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,15.6,1,0,0,0,0,1,1,20,0,1,1,1,5083.933333,1753.10008,5086.28,1752.699582,5088.626667,1752.264667,2546.19368,0.156,2620.758036,0.170666667,2695.356809,0.185333333,2769.99,0.2
309,118,3627,15,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,15.6,1,0,0,0,0,1,1,20,0,1,1,1,5083.933333,1753.10008,5086.28,1752.699582,5088.626667,1752.264667,2546.19368,0.156,2620.758036,0.170666667,2695.356809,0.185333333,2769.99,0.2
310,118,3627,16,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,14.6,1,0,0,0,0,1,1,20,0,1,1,1,5082.6,1753.31448,5085.48,1752.84216,5088.36,1752.318,2495.37408,0.146,2586.86088,0.164,2678.39952,0.182,2769.99,0.2
311,118,3627,2,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
312,118,3627,3,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
313,118,3627,4,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
314,118,3627,5,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
315,118,3627,6,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
316,118,3627,7,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
317,118,3627,8,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
318,118,3627,9,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),20,16,1,0,0,0,0,1,1,20,0,1,1,1,5084.466667,1753.011333,5086.6,1752.641556,5088.733333,1752.243333,2566.526,0.16,2634.318889,0.173333333,2702.140222,0.186666667,2769.99,0.2
319,119,3628,1,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
320,119,3628,10,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
321,119,3628,11,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
322,119,3628,12,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
323,119,3628,2,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
324,119,3628,3,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
325,119,3628,4,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
326,119,3628,5,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
327,119,3628,6,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
328,119,3628,7,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
329,119,3628,8,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
330,119,3628,9,PQ (Gens at Var Limit),hydro,PS (Hydro Pumped Storage),20,1,1,0,0,0,0,0,0,50,0.01,1,0,1,1539.566667,43.51533333,1618.1,37.75622222,1696.633333,27.02333333,58.911,0.01,156.4168889,0.073333333,258.8965556,0.136666667,366.35,0.2
331,387,4450,1,PV,ng,CT (Combined Cycle Combustion Turbine Part),40.6,40,1,0,0,2,2,1,1,4,0.03,1,1,1,1912.96,-33.884,1915.08,-34.73624,1917.2,-35.59272,731.3,0.4,735.12592,0.402,738.95608,0.404,742.79048,0.406
332,387,4450,2,PV,ng,CA (Combined Cycle Steam Part),59.9,28.512,1,0,0,2,2,4,0,4,0.03,1,1,1,1845.579333,-7.556021888,1956.4836,-50.78059014,2067.387867,-105.6087021,518.6555576,0.28512,711.7523713,0.389746667,916.4527288,0.494373333,1132.75663,0.599
333,443,4662,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),21.6,2,1,0,0,0,0,1,1,21.6,0,1,1,1,5066.226667,1755.093467,5076.68,1754.201449,5087.133333,1752.62648,1856.418,0.02,2187.411476,0.085333333,2519.087902,0.150666667,2851.44728,0.216
334,650,5521,1,PQ (Gens at Var Limit),hydro,HY (Hydro),14.533,0,1,0,0,0,0,0,0,50,0.01,1,0,1,1517.934867,43.97,1578.0046,41.06002188,1638.074333,35.24006565,43.97,0,117.5038247,0.048443333,193.9476276,0.096886667,273.3014085,0.14533
335,650,5521,2,PQ (Gens at Var Limit),hydro,HY (Hydro),14.533,0,1,0,0,0,0,0,0,50,0.01,1,0,1,1517.934867,43.97,1578.0046,41.06002188,1638.074333,35.24006565,43.97,0,117.5038247,0.048443333,193.9476276,0.096886667,273.3014085,0.14533
336,650,5521,3,PQ (Gens at Var Limit),hydro,HY (Hydro),14.533,0,1,0,0,0,0,0,0,50,0.01,1,0,1,1517.934867,43.97,1578.0046,41.06002188,1638.074333,35.24006565,43.97,0,117.5038247,0.048443333,193.9476276,0.096886667,273.3014085,0.14533
337,1498,8157,1,PV,ng,CA (Combined Cycle Steam Part),18.75,8.3,1,0,0,2,2,4,0,4,0.03,1,1,1,1594.341667,46.15651167,1631.265,41.80571222,1668.188333,36.16875,178.48687,0.083,234.0231047,0.117833333,290.8455022,0.152666667,348.9540625,0.1875
338,1498,8157,2,PV,ng,CA (Combined Cycle Steam Part),18.75,8.3,1,0,0,2,2,4,0,4,0.03,1,1,1,1594.341667,46.15651167,1631.265,41.80571222,1668.188333,36.16875,178.48687,0.083,234.0231047,0.117833333,290.8455022,0.152666667,348.9540625,0.1875
339,1673,8513,1,PQ (Gens at Var Limit),ng,ST (Steam Turbine),454.7,109.128,1,0,0,8,4.5,4,0,4,0.03,1,1,1,2261.223333,952.1627627,2376.414,693.7685951,2491.604667,302.6855307,3419.790562,1.09128,6024.508794,2.243186667,8761.915924,3.395093333,11632.01195,4.547
340,1673,8513,2,PQ (Gens at Var Limit),ng,ST (Steam Turbine),659.7,220,1,0,0,8,4.5,4,0,4,0.03,1,1,1,2253.27,1386.966,2341.21,1064.607273,2429.15,613.35782,6344.16,2.2,9646.70273,3.665666667,13078.13619,5.131333333,16638.46037,6.597
341,1674,8523,1,PV,ng,CT (Combined Cycle Combustion Turbine Part),183.6,125,1,0,0,2,2,1,1,4,0.03,1,1,1,1817.206667,1671.726667,1942.22,1491.040729,2067.233333,1285.93552,3943.235,1.25,4298.196036,1.445333333,4677.576342,1.640666667,5081.37592,1.836
342,1674,8523,2,PV,ng,CT (Combined Cycle Combustion Turbine Part),183.6,125,1,0,0,2,2,1,1,4,0.03,1,1,1,1817.206667,1671.726667,1942.22,1491.040729,2067.233333,1285.93552,3943.235,1.25,4298.196036,1.445333333,4677.576342,1.640666667,5081.37592,1.836
343,1674,8523,3,PV,ng,CA (Combined Cycle Steam Part),258.4,125,1,0,0,8,4.5,4,0,4,0.03,1,1,1,1905.413333,442.9833333,2136.64,51.13120889,2367.866667,-443.5397067,2824.75,1.25,3672.023796,1.694666667,4622.116382,2.139333333,5675.02776,2.584
344,1674,8523,4,PV,ng,CA (Combined Cycle Steam Part),325.2,110,1,0,0,8,4.5,4,0,4,0.03,1,1,1,1898.306667,473.9926667,2271.32,-203.8968978,2644.333333,-1149.36136,2562.13,1.1,3923.848649,1.817333333,5553.142196,2.534666667,7450.01064,3.252
345,1674,8523,5,PV,ng,CT (Combined Cycle Combustion Turbine Part),112.5,110,1,0,0,2,2,1,1,4,0.03,1,1,1,2075.95,478.315,2077.45,476.6525,2078.95,474.9775,2761.86,1.1,2779.159583,1.108333333,2796.471667,1.116666667,2813.79625,1.125
346,1674,8523,6,PV,ng,CT (Combined Cycle Combustion Turbine Part),112.5,110,1,0,0,2,2,1,1,4,0.03,1,1,1,2075.95,478.315,2077.45,476.6525,2078.95,474.9775,2761.86,1.1,2779.159583,1.108333333,2796.471667,1.116666667,2813.79625,1.125
347,1674,8523,7,PV,ng,CT (Combined Cycle Combustion Turbine Part),112.5,110,1,0,0,2,2,1,1,4,0.03,1,1,1,2075.95,478.315,2077.45,476.6525,2078.95,474.9775,2761.86,1.1,2779.159583,1.108333333,2796.471667,1.116666667,2813.79625,1.125
348,1674,8523,8,PV,ng,CT (Combined Cycle Combustion Turbine Part),112.5,110,1,0,0,2,2,1,1,4,0.03,1,1,1,2075.95,478.315,2077.45,476.6525,2078.95,474.9775,2761.86,1.1,2779.159583,1.108333333,2796.471667,1.116666667,2813.79625,1.125
349,1726,76515,1,PQ,other,ST (Steam Turbine),78.6,24,1,0,0,0,0,4,0,78.6,0,1,1,1,0,0,0,0,0,0,0,0.24,0,0.422,0,0.604,0,0.786
350,1731,76530,1,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),38.3,30.6,1,0,0,2,2,1,1,4,0.03,1,1,1,1825.863333,-2.4497,1853.07,-11.47324444,1880.276667,-21.19509333,556.26448,0.306,603.1283056,0.331666667,650.6904356,0.357333333,698.95087,0.383
351,1731,76530,2,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),55.3,40.6,1,0,0,2,2,4,0,4,0.03,1,1,1,1944.23,-46.5669,1996.17,-70.1996,2048.11,-96.37736,742.79048,0.406,838.05775,0.455,935.87008,0.504,1036.22747,0.553
352,1733,76540,1,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),49.2,45,1,0,0,2,2,1,1,4,0.03,1,1,1,1972.32,-59.324,1987.16,-66.20976,2002,-73.30328,828.22,0.45,855.83248,0.464,883.65272,0.478,911.68072,0.492
353,1733,76540,2,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),39,15,1,0,0,2,2,4,0,4,0.03,1,1,1,1689.3,33.055,1774.1,13.551,1858.9,-12.737,286.45,0.15,421.594,0.23,563.522,0.31,712.234,0.39
354,1735,76543,1,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),48.7,30,1,0,0,2,2,1,1,4,0.03,1,1,1,1838.936667,-6.271,1905.01,-30.21157111,1971.083333,-58.27071333,545.41,0.3,660.0370522,0.362333333,778.7826756,0.424666667,901.64687,0.487
355,1735,76543,2,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),48.7,30,1,0,0,2,2,1,1,4,0.03,1,1,1,1838.936667,-6.271,1905.01,-30.21157111,1971.083333,-58.27071333,545.41,0.3,660.0370522,0.362333333,778.7826756,0.424666667,901.64687,0.487
356,1735,76543,3,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),48.7,30,1,0,0,2,2,1,1,4,0.03,1,1,1,1838.936667,-6.271,1905.01,-30.21157111,1971.083333,-58.27071333,545.41,0.3,660.0370522,0.362333333,778.7826756,0.424666667,901.64687,0.487
357,1735,76543,4,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),75.2,14,1,0,0,2,2,4,0,4,0.03,1,1,1,1920.76,583.7056,1957.48,571.07392,1994.2,550.95136,852.612,0.14,1244.44704,0.344,1643.77296,0.548,2050.58976,0.752
358,1736,76552,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),41.9,5,1,0,0,2,2,1,1,4,0.03,1,1,1,1411.68,316.611,1475.64,305.54592,1539.6,286.61376,387.195,0.05,560.83164,0.173,742.33536,0.296,931.70616,0.419
359,1811,95340,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),47,1,1,0,0,2,2,1,1,4,0.03,1,1,1,1398.766667,318.4353333,1478.5,305.4122222,1558.233333,280.1633333,332.423,0.01,546.9005556,0.163333333,773.6038889,0.316666667,1012.533,0.47
360,1812,95341,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),60.5,26,1,0,0,2,2,1,1,4,0.03,1,1,1,1518.8,293.51,1578.6,271.085,1638.4,241.783,688.398,0.26,863.06,0.375,1044.599,0.49,1233.015,0.605
361,1813,95342,1,PV,ng,GT (Gas Turbine),47.7,42,1,0,0,2,2,1,1,4,0.03,1,1,1,1577.04,270.9212,1586.92,266.58388,1596.8,262.05884,933.278,0.42,963.24176,0.439,993.39324,0.458,1023.73244,0.477
362,38,38,2,0,wind,WF (Wind Farm),149.46,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,42,42,5,0,wind,WF (Wind Farm),112.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,44,44,8,0,wind,WF (Wind Farm),167.7,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,45,45,8,0,wind,WF (Wind Farm),373.57,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,46,46,2,0,wind,WF (Wind Farm),129,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,48,48,8,0,wind,WF (Wind Farm),97.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,52,52,4,0,wind,WF (Wind Farm),7.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,95,95,9,0,wind,WF (Wind Farm),4,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,97,97,4,0,wind,WF (Wind Farm),52.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,100,100,4,0,wind,WF (Wind Farm),0.1,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,102,102,9,0,wind,WF (Wind Farm),34.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,103,103,9,0,wind,WF (Wind Farm),260.7,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,310,310,5,0,wind,WF (Wind Farm),1.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,311,311,5,0,wind,WF (Wind Farm),0.275,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,312,312,5,0,wind,WF (Wind Farm),78.4,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,313,313,5,0,wind,WF (Wind Farm),0.275,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,331,331,8,0,wind,WF (Wind Farm),39.675,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,375,375,5,0,wind,WF (Wind Farm),7.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,387,387,5,0,wind,WF (Wind Farm),0.1,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,401,401,5,0,wind,WF (Wind Farm),27.5,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,418,418,5,0,wind,WF (Wind Farm),0.275,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,449,449,9,0,wind,WF (Wind Farm),28,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,451,451,9,0,wind,WF (Wind Farm),46,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,640,640,9,0,wind,WF (Wind Farm),137.05,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,643,643,9,0,wind,WF (Wind Farm),30,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,669,669,2,0,wind,WF (Wind Farm),1.1,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,936,936,9,0,wind,WF (Wind Farm),11.55,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,1006,1006,4,0,wind,WF (Wind Farm),3.3,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,1414,1414,4,0,wind,WF (Wind Farm),65,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,1416,1416,4,0,wind,WF (Wind Farm),71.55,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,1483,1483,7,0,wind,WF (Wind Farm),0.1,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,1669,1669,5,0,wind,WF (Wind Farm),48.6,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,1810,1810,0,0,wind,WF (Wind Farm),0.275,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,1814,1814,1,0,wind,WF (Wind Farm),816,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,1815,1815,7,0,wind,WF (Wind Farm),1260,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,1816,1816,1,0,wind,WF (Wind Farm),924,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,1817,1817,7,0,wind,WF (Wind Farm),1230,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,1818,1818,7,0,wind,WF (Wind Farm),132,0,0,0,0,1,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
